Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
64571486,04/07/2025 01:51:12 AM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10033,600 WEST  183 STREET,WEST  183 STREET,ST NICHOLAS AVENUE,WADSWORTH AVENUE,ST NICHOLAS AVENUE,WADSWORTH AVENUE,ADDRESS,NEW YORK,WEST  183 STREET,,In Progress,,,,12 MANHATTAN,1021650038,MANHATTAN,1002771,249172,PHONE,Unspecified,MANHATTAN,,,,,,,,40.850575150400616,-73.93305368978459,"(40.850575150400616, -73.93305368978459)"
64570400,04/07/2025 01:51:01 AM,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11233,541 CHAUNCEY STREET,CHAUNCEY STREET,THOMAS S BOYLAND STREET,ROCKAWAY AVENUE,THOMAS S BOYLAND STREET,ROCKAWAY AVENUE,ADDRESS,BROOKLYN,CHAUNCEY STREET,,In Progress,,,04/07/2025 02:05:46 AM,16 BROOKLYN,3015110055,BROOKLYN,1008374,187868,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.682298154828565,-73.9130210323125,"(40.682298154828565, -73.9130210323125)"
64571430,04/07/2025 01:50:38 AM,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10037,2300 5 AVENUE,5 AVENUE,EAST  139 STREET,WEST  141 STREET,EAST  139 STREET,WEST  141 STREET,ADDRESS,NEW YORK,5 AVENUE,,In Progress,,,,10 MANHATTAN,1017370025,MANHATTAN,1002067,236396,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.815510167325854,-73.93563231275274,"(40.815510167325854, -73.93563231275274)"
64571425,04/07/2025 01:49:56 AM,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11233,519 CHAUNCEY STREET,CHAUNCEY STREET,THOMAS S BOYLAND STREET,ROCKAWAY AVENUE,THOMAS S BOYLAND STREET,ROCKAWAY AVENUE,ADDRESS,BROOKLYN,CHAUNCEY STREET,,In Progress,,,04/07/2025 02:05:34 AM,16 BROOKLYN,3015110066,BROOKLYN,1008202,187842,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.682227257877265,-73.91364126951166,"(40.682227257877265, -73.91364126951166)"
64576182,04/07/2025 01:49:26 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10460,1713 HOE AVENUE,HOE AVENUE,EAST  173 STREET,EAST  174 STREET,EAST  173 STREET,EAST  174 STREET,ADDRESS,BRONX,HOE AVENUE,,In Progress,,,04/07/2025 02:03:51 AM,03 BRONX,2029830028,BRONX,1015461,244034,MOBILE,Unspecified,BRONX,,,,,,,,40.83643711808736,-73.88720816167115,"(40.83643711808736, -73.88720816167115)"
64570514,04/07/2025 01:48:37 AM,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10474,710 HUNTS POINT AVENUE,HUNTS POINT AVENUE,SPOFFORD AVENUE,FAILE STREET,SPOFFORD AVENUE,FAILE STREET,ADDRESS,BRONX,HUNTS POINT AVENUE,,In Progress,,,04/07/2025 02:49:31 AM,02 BRONX,2027630248,BRONX,1015724,236225,MOBILE,Unspecified,BRONX,,,,,,,,40.815002719791444,-73.88629435215104,"(40.815002719791444, -73.88629435215104)"
64575354,04/07/2025 01:47:59 AM,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10031,660 RIVERSIDE DRIVE,RIVERSIDE DRIVE,WEST  143 STREET,WEST  144 STREET,WEST  143 STREET,WEST  144 STREET,ADDRESS,NEW YORK,RIVERSIDE DRIVE,,In Progress,,,04/07/2025 02:06:36 AM,09 MANHATTAN,1020907501,MANHATTAN,997281,240189,PHONE,Unspecified,MANHATTAN,,,,,,,,40.825929236433865,-73.95291538223994,"(40.825929236433865, -73.95291538223994)"
64574535,04/07/2025 01:47:20 AM,,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11423,184-41 90 AVENUE,90 AVENUE,184 PLACE,185 STREET,184 PLACE,185 STREET,ADDRESS,HOLLIS,90 AVENUE,,In Progress,,,,12 QUEENS,4099250133,QUEENS,1046355,198576,PHONE,Unspecified,QUEENS,,,,,,,,40.71150402901906,-73.7759823976951,"(40.71150402901906, -73.7759823976951)"
64571378,04/07/2025 01:47:12 AM,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint - Non Passenger,,11101,29-08 THOMSON AVENUE,THOMSON AVENUE,SKILLMAN AVENUE,30 STREET,SKILLMAN AVENUE,30 STREET,ADDRESS,LONG ISLAND CITY,THOMSON AVENUE,,In Progress,,,,02 QUEENS,,QUEENS,1001539,210785,MOBILE,Unspecified,QUEENS,,,"29-08 THOMSON AVENUE, QUEENS (LONG ISLAND CITY), NY, 11101",,,,,40.74521582197306,-73.93760572831813,"(40.74521582197306, -73.93760572831813)"
64571286,04/07/2025 01:46:39 AM,,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11432,86-86 MIDLAND PARKWAY,MIDLAND PARKWAY,DALNY ROAD,WEXFORD TERRACE,DALNY ROAD,WEXFORD TERRACE,ADDRESS,JAMAICA,MIDLAND PARKWAY,,In Progress,,,,08 QUEENS,4099380065,QUEENS,1044417,199626,ONLINE,Unspecified,QUEENS,,,,,,,,40.714399411177965,-73.78296350254676,"(40.714399411177965, -73.78296350254676)"
